2.535407,6.782931,0
3.972267,5.012452,0
3.875361,4.948231,0
3.504571,5.340590,0
3.945788,6.600447,0
3.304850,2.752824,0
3.877411,5.281317,0
3.923900,5.844404,0
4.305329,6.235252,0
2.863188,3.250624,0
4.111276,4.675989,0
3.113200,4.074036,0
4.620091,7.686722,0
3.365999,4.010549,0
5.224881,7.859464,0
4.631010,6.020073,0
2.864739,4.436338,0
3.668928,4.922552,0
3.533789,6.339130,0
6.770228,8.185134,0
3.873673,5.800671,0
3.692916,5.975917,0
5.139592,5.299682,0
4.057294,5.029124,0
3.333158,3.055967,0
2.363389,6.190878,0
3.161588,5.177128,0
3.588589,4.648735,0
2.630086,5.191637,0
3.516497,4.889872,0
4.332636,3.921550,0
4.455042,4.094979,0
2.752554,3.633481,0
3.776014,3.829078,0
3.429350,5.615668,0
3.464920,2.578190,0
4.344598,4.696432,0
4.101339,5.986766,0
3.903155,4.103259,0
5.390117,6.688830,0
3.927283,5.963730,0
2.791524,1.920339,0
2.933553,2.584530,0
2.723158,3.961735,0
4.320877,4.603408,0
4.034918,5.666952,0
5.062707,5.938822,0
3.343282,4.529328,0
4.115074,3.959576,0
3.680264,7.035035,0
3.652481,3.810510,0
4.996491,6.080887,0
5.090113,5.895121,0
3.818498,5.611898,0
1.954053,3.281237,0
2.658748,3.478323,0
4.893190,7.734454,0
3.648990,5.748440,0
2.737565,2.950183,0
3.136015,4.392559,0
2.914969,5.517470,0
4.355212,5.538927,0
3.565079,2.700018,0
4.387048,4.731759,0
3.220100,3.375170,0
4.778859,5.690189,0
4.550907,4.355184,0
2.604036,4.143891,0
4.534835,5.416381,0
4.883035,5.058865,0
2.694023,4.307283,0
3.775881,5.672467,0
1.729300,1.348443,0
3.954369,5.975965,0
3.989226,5.193677,0
3.049025,4.666579,0
2.989337,5.920647,0
3.732394,6.334638,0
3.986509,6.614343,0
3.698027,4.048024,0
4.841162,5.407714,0
3.192245,5.216070,0
4.796433,5.629406,0
2.384495,2.833713,0
4.427684,5.128690,0
3.824615,5.162562,0
3.528140,4.579156,0
